,Subject,PC_17Network_ThaROI401,PC_17Network_ThaROI402,PC_17Network_ThaROI403,PC_17Network_ThaROI404,PC_17Network_ThaROI405,PC_17Network_ThaROI406,PC_17Network_ThaROI407,PC_7Network_ThaROI401,PC_7Network_ThaROI402,PC_7Network_ThaROI403,PC_7Network_ThaROI404,PC_7Network_ThaROI405,PC_7Network_ThaROI406,PC_7Network_ThaROI407
0,DODASD001,0.7415046882177904,0.7375082557951209,0.5957770904941658,0.33939620451788133,0.7481092966710334,0.758271283213212,0.15882928277447628,0.7857922265326497,0.7777145202034926,0.6268379809011558,0.3423234097062671,0.7941855269954714,0.8003610461259826,0.15882928277447628
1,DODASD003,0.7278090352072578,0.7280892531143149,0.7296523014818974,0.7296458810904736,0.7278777118347293,0.7304446347929939,0.7311104599187264,0.8051402519010715,0.8054172983769288,0.8055819068745524,0.8093000868451956,0.8052498518762181,0.8072829872598173,0.8123874074559041
2,DODASD006,0.639784721457655,0.7121552257502065,0.7199794429647335,0.5431109549037054,0.6208948545515527,0.7344956264470978,0.5652793995532612,0.6825779303678998,0.7635940365932601,0.7823108876852932,0.5715585680452844,0.6611384463824762,0.793353403778939,0.6021336001627815
3,DODASD007,0.6231521366327074,0.6490739292505727,0.6773988193873018,0.6129787820824734,0.6204665493056306,0.6708017917276566,0.4032949776242706,0.7460911335425944,0.7600176843879538,0.7748050922392686,0.7206424824993494,0.7425661983589489,0.7725766409936672,0.4527059749879813
4,DODASD008,0.718755038362534,0.7194556256506481,0.7133652340511522,0.7137465909294181,0.7192797118148058,0.7276309229921754,0.6978582532560831,0.805081639460239,0.8057739910285754,0.8002525766798686,0.7950612214212491,0.8049705770115935,0.8117976955448274,0.7743592392284989
5,DODASD010,0.731222166290896,0.7284757464083743,0.7284202783485039,0.6943838406793966,0.7269024087386037,0.7302563997582368,0.4782605446059186,0.8164244395897967,0.814057172929645,0.8188973770683711,0.7756450855090499,0.816706529612156,0.8199388586432236,0.5319322366098931
6,DODASD011,0.0,0.0,0.0,0.026967303445146255,0.0,0.0,0.0,0.0,0.0,0.0,0.026967303445146255,0.0,0.0,0.0
7,DODASD012,0.7683939107376446,0.7673850625509874,0.7634431116792338,0.7667699528040413,0.7687788360238553,0.7658354931834992,0.7583810168750529,0.8289370339398018,0.8273217542580542,0.8312734529274944,0.829768849128946,0.8295552929565947,0.8296619578407836,0.8313023137533432
8,DODASD013,0.6301503183206434,0.6612914411446755,0.45568576790910637,0.7085442776868487,0.6682156815377923,0.5999446946304379,0.5387448573979982,0.7059040238136952,0.7142522891966272,0.48809114329346026,0.767215722942651,0.739302048718992,0.6631642504714947,0.5685978368239287
9,DODASD015,0.47304965543582755,0.5447190484754518,0.2285203816697557,0.2111348789894949,0.5677700012573869,0.4436881415976963,0.03335307637574987,0.4868082530734413,0.5630463834155376,0.2341928834211428,0.20526537389729996,0.5958211959324374,0.4551386630129717,0.03335307637574987
10,DODASD018,0.7336346161822743,0.7314701713092098,0.7199580427387168,0.7420301161358541,0.7380766230899714,0.7276181836930328,0.7288468066543932,0.8133297485947873,0.8107601211644245,0.8122160446859984,0.8221630535119228,0.8166123336155082,0.8112201263539411,0.8154851986853525
11,DODASD019,0.7087226370987046,0.710657566589928,0.6587960482438764,0.5975315846075009,0.7011181945989544,0.7206616698767779,0.3535493430446303,0.7756980211707937,0.7732653810392095,0.6884294830396173,0.6376447597344996,0.771585308346086,0.7641489112231166,0.3755524200939772
12,DODASD020,0.6804742920333626,0.6926185441121693,0.0,0.7335927190801569,0.7318663577180197,0.5409147072431468,0.5682119151665025,0.7611264140163613,0.7675880286814909,0.0,0.8023806464308122,0.8044243520640493,0.570858085043467,0.590047006059312
13,DODASD021,0.0,0.0,0.01990761803284711,0.0,0.0,0.0,0.0,0.0,0.0,0.03409953639041403,0.0,0.0,0.0,0.0
14,DODASD023,0.7234322500173372,0.7164241666019507,0.15580338595920115,0.7011463360989868,0.7304004963439182,0.688327487697875,0.3760433859651604,0.7829841913850246,0.7657193628108793,0.1591388246251371,0.7665534857038518,0.7930399421620724,0.7236416301724007,0.39905862446698104
